anime_id,title,title_english,source,episodes,score,scored_by,rank,popularity
2525,Kekkou Kamen,,Manga,4,5.83,1212,7731,5934
9990,Midori-ko,Midori-ko,Original,1,6.06,285,7210,7966
4578,Time Bokan Oudou Fukko,Time Bokan: Royal Revival,Unknown,2,6.29,295,6452,8580
34209,Meiji Tokyo Renka,,Game,0,0,1,,8513
22137,Toukiden: The Age of Demons - Introduction,,Unknown,1,5.91,255,7556,9023
22995,Shisei Sasshin,,Original,1,7.29,7,12111,13462
1175,Metal Fighter Miku,Metal Fighter Miku,Original,13,6.1,509,7084,6905
32148,PS3® no Tsukai Kata: feat.Peeping Life,,Original,6,4.98,42,11834,11615
10370,Metal Fight Beyblade 4D,Beyblade: Metal Fury,Manga,52,6.88,5884,4003,3603
23519,Enbi,,Manga,2,6.37,953,,6647
9061,RPG Densetsu Hepoi,,Unknown,50,6.65,26,11904,10919
34963,Yarimoku Beach ni Shuugakuryokou de!! The Animation,,Manga,1,7.07,884,,5712
32768,Revenge of Green Mutant,,Music,1,4.99,64,9056,12605
17167,Akai Koudan Zillion Specials,Zillion Specials,Unknown,3,6.17,70,6855,10044
2590,Genmukan,Genmukan: The Sin of Desire & Shame,Visual novel,2,6.47,1812,,5086
12411,UN-GO: Inga Nikki,UN-GO: Inga Nikki,Original,10,6.26,2202,6561,4628
37663,God Eater Reso Nantoka Gekijou Episode 0,,Game,1,6.11,132,7053,5385
3419,Sumomomo Momomo: Chijou Saikyou no Yome Specials,,Manga,2,7.04,4296,3430,3966
3051,Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,,Original,1,7.41,1224,2003,6014
33788,Marginal#4: Kiss kara Tsukuru Big Bang,MARGINAL #4 the Animation,Music,12,6.83,2685,4199,3634
20557,11eyes Picture Drama,,Visual novel,13,5.75,1004,7900,5712
34475,Monster Strike: Rain of Memories,Monster Strike: Rain of Memories,Game,1,6.56,372,5381,7594
30364,Haikyuu!! Movie 2: Shousha to Haisha,,Manga,1,7.99,4051,567,2715
7377,Winter Sonata Episode 0,,Other,1,6.56,1892,5396,5542
33396,Hua Jiang Hu Zhi Bu Liang Ren,,Original,54,7.35,20,10515,10801
6153,Saint Seiya Recap,Saint Seiya: Summary,Unknown,1,7.41,2202,1989,4959
33280,Gochuumon wa Usagi desu ka??: Dear My Sister,Is the order a rabbit?? Dear My Sister,4-koma manga,1,7.51,262,1606,3456
20267,Wooser no Sono Higurashi: Kakusei-hen,Wooser&#039;s Hand-to-Mouth Life: Awakening Arc,Web manga,12,6.72,2530,4682,4887
24453,Fetikano!,,Manga,1,6.64,1005,,6098
35746,6 Lovers,,Manga,0,0,0,,4651
2390,Hoshi no Kirby,Kirby: Right Back at Ya!,Game,100,6.74,6316,4579,3153
1915,Mahou Shoujo Lyrical Nanoha StrikerS,Magical Girl Lyrical Nanoha StrikerS,Original,26,7.72,19940,1064,1766
3603,JoJo no Kimyou na Bouken: Phantom Blood,JoJo&#039;s Bizarre Adventure: Phantom Blood,Manga,1,7.8,4389,876,3040
2251,Baccano!,Baccano!,Light novel,13,8.49,221916,107,87
1223,Ame to Shoujo to Watashi no Tegami,,Unknown,1,5.88,4381,7612,4164
655,Galaxy Angel 4,,Game,13,7.32,2295,2335,4638
20545,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. OVA,"Yusibu: I couldn&#039;t become a hero, so I reluctantly decided to get a job. OVA",Light novel,1,6.91,14770,3893,2238
10372,Kamisama Dolls,Kamisama Dolls,Manga,13,7.1,24389,3209,1443
36914,Fate/Grand Order: Himuro no Tenchi - 7-nin no Saikyou Ijin-hen,,Game,1,6.54,1712,5445,4292
15021,Yuki no Taiyou Pilot,,Manga,1,5.45,786,8467,7462
6268,Sekishoku Elegy,,Unknown,1,6.07,58,7181,9371
2713,Rockman.EXE Beast+,,Unknown,26,7.03,1316,3473,5315
35385,Yukai na Animal Bus 2nd Season,,Original,12,4.25,4,12794,13706
36597,Detarame Rock & Roll Theory,Detarame Rock&Roll Theory,Original,1,5.44,129,8473,10935
